Frame,X,Y,Visibility,L,Theta
0,709.2,236.8,1,0.0,0.0
1,708.1,239.0,1,0.0,0.0
2,707.0,241.2,1,0.0,0.0
3,706.2,243.0,1,0.0,0.0
4,704.7,246.0,1,0.0,0.0
5,703.1,248.9,1,0.0,0.0
6,702.2,251.9,1,0.0,0.0
7,701.6,255.4,1,0.0,0.0
8,700.5,259.7,1,0.0,0.0
9,699.8,263.0,1,0.0,0.0
10,698.6,267.9,1,0.0,0.0
11,697.0,273.1,1,0.0,0.0
12,695.4,279.0,1,0.0,0.0
13,695.0,284.5,1,0.0,0.0
14,694.3,290.0,1,0.0,0.0
15,693.5,296.8,1,0.0,0.0
16,690.2,301.8,1,0.0,0.0
17,682.8,301.4,1,0.0,0.0
18,671.9,295.4,1,0.0,0.0
19,659.2,287.9,1,0.0,0.0
20,644.0,280.2,1,0.0,0.0
21,630.2,274.3,1,0.0,0.0
22,620.6,271.0,1,0.0,0.0
23,613.1,268.1,1,0.0,0.0
24,604.1,264.9,1,0.0,0.0
25,591.9,261.2,1,0.0,0.0
26,584.2,258.4,1,0.0,0.0
27,573.3,258.2,1,0.0,0.0
28,565.3,259.0,1,0.0,0.0
29,559.4,258.4,1,0.0,0.0
30,559.1,257.5,1,0.0,0.0
31,554.0,257.6,1,0.0,0.0
32,547.6,258.4,1,0.0,0.0
33,542.4,257.2,1,0.0,0.0
34,537.6,253.4,1,0.0,0.0
35,533.2,247.1,1,0.0,0.0
36,528.7,241.7,1,0.0,0.0
37,524.3,234.7,1,0.0,0.0
38,520.5,226.8,1,0.0,0.0
39,517.3,218.7,1,0.0,0.0
40,514.3,211.8,1,0.0,0.0
41,511.3,204.7,1,0.0,0.0
42,508.2,197.6,1,0.0,0.0
43,505.2,190.5,1,0.0,0.0
44,502.2,183.4,1,0.0,0.0
45,499.1,176.3,1,0.0,0.0
46,496.1,169.2,1,0.0,0.0
47,492.9,161.6,1,0.0,0.0
48,490.3,156.0,1,0.0,0.0
49,488.5,153.0,1,0.0,0.0
50,487.3,152.0,1,0.0,0.0
51,486.0,150.4,1,0.0,0.0
52,484.6,148.9,1,0.0,0.0
53,483.3,147.4,1,0.0,0.0
54,481.9,145.9,1,0.0,0.0
55,480.6,144.3,1,0.0,0.0
56,479.1,142.5,1,0.0,0.0
57,478.2,141.9,1,0.0,0.0
