frame,x,y,visible,interpolated,score
0,,,0,0,0.000
1,,,0,0,0.000
2,705.89,241.18,1,0,15.257
3,704.24,243.72,1,0,14.542
4,703.23,245.07,1,0,15.933
5,702.30,247.78,1,0,17.191
6,702.93,251.62,1,0,14.169
7,702.26,254.09,1,0,15.235
8,700.43,258.58,1,0,17.078
9,699.59,262.85,1,0,16.011
10,698.49,266.83,1,0,15.547
11,695.54,273.09,1,0,12.755
12,694.64,277.70,1,0,13.871
13,694.60,283.45,1,0,14.050
14,693.61,288.47,1,0,16.854
15,690.69,294.41,1,0,7.884
16,690.96,303.01,1,0,17.220
17,699.52,537.89,1,0,14.164
18,704.30,351.60,1,0,12.196
19,699.32,532.99,1,0,8.100
20,700.47,530.67,1,0,15.873
21,,,0,0,0.444
22,740.02,540.96,1,0,5.536
23,743.78,536.68,1,0,5.060
24,601.19,265.57,1,0,2.793
25,,,0,0,0.151
26,666.00,439.50,1,0,2.106
27,,,0,0,0.413
28,692.41,511.20,1,0,2.658
29,668.49,443.42,1,0,13.256
30,668.61,444.82,1,0,14.512
31,668.01,447.89,1,0,14.198
32,666.44,450.01,1,0,5.746
33,541.11,256.34,1,0,13.881
34,650.00,481.97,1,0,1.601
35,649.79,480.48,1,0,8.762
36,648.63,477.14,1,0,5.167
37,,,0,0,0.295
38,,,0,0,0.458
39,,,0,0,0.252
40,651.26,473.10,1,0,11.493
41,673.83,488.13,1,0,11.782
42,,,0,0,0.407
43,719.25,531.76,1,0,9.962
44,716.03,533.62,1,0,6.172
45,695.01,489.47,1,0,8.415
46,678.87,533.77,1,0,9.373
47,673.84,534.28,1,0,7.032
48,,,0,0,0.413
49,,,0,0,0.388
50,,,0,0,0.140
51,,,0,0,0.122
52,,,0,0,0.183
53,,,0,0,0.257
54,,,0,0,0.348
55,,,0,0,0.274
56,,,0,0,0.233
57,,,0,0,0.278
58,,,0,0,0.179
59,477.01,146.99,1,0,2.097
60,477.85,147.18,1,0,6.882
61,,,0,0,0.227
62,,,0,0,0.461
63,,,0,0,0.472
64,,,0,0,0.196
65,,,0,0,0.100
66,478.04,159.01,1,0,3.222
67,478.44,159.19,1,0,14.613
68,479.15,161.96,1,0,15.537
69,480.17,165.81,1,0,14.903
70,480.25,168.20,1,0,14.586
71,,,0,0,0.460
72,,,0,0,0.438
73,481.35,182.68,1,0,1.572
74,481.75,186.24,1,0,4.555
75,483.77,194.70,1,0,4.921
76,483.64,194.60,1,0,16.988
77,484.27,200.61,1,0,15.968
78,485.37,204.01,1,0,16.681
79,486.12,210.41,1,0,15.803
80,486.00,216.01,1,0,14.951
81,486.43,224.04,1,0,14.562
82,487.92,229.91,1,0,14.584
83,488.46,235.53,1,0,14.046
84,489.00,241.02,1,0,16.063
85,489.00,247.15,1,0,14.111
86,,,0,0,0.489
87,,,0,0,0.263
88,491.94,276.04,1,0,14.084
89,492.22,284.30,1,0,15.930
90,493.49,292.70,1,0,8.475
91,494.12,308.43,1,0,15.070
92,495.73,315.90,1,0,14.163
93,495.94,324.14,1,0,14.407
94,497.57,336.33,1,0,13.212
95,,,0,0,0.306
96,500.35,361.99,1,0,6.065
97,500.28,374.66,1,0,14.855
98,501.70,385.28,1,0,15.308
99,501.74,395.77,1,0,12.524
100,503.40,409.83,1,0,11.306
101,,,0,0,0.095
102,,,0,0,0.034
103,,,0,0,0.066
104,428.76,556.36,1,0,13.360
105,420.34,556.37,1,0,13.795
106,,,0,0,0.492
107,,,0,0,0.294
108,,,0,0,0.072
109,,,0,0,0.034
110,,,0,0,0.209
111,518.45,461.91,1,0,8.939
112,530.04,466.58,1,0,3.915
113,,,0,0,0.189
114,,,0,0,0.033
115,,,0,0,0.318
116,519.67,471.82,1,0,6.904
117,,,0,0,0.300
118,521.02,474.47,1,0,10.045
119,522.00,475.91,1,0,15.187
120,523.44,478.63,1,0,15.220
121,524.03,482.03,1,0,13.872
122,525.21,485.50,1,0,15.481
123,527.48,489.51,1,0,13.072
124,400.19,450.13,1,0,11.229
125,,,0,0,0.380
126,431.75,486.03,1,0,8.369
127,,,0,0,0.284
128,,,0,0,0.170
129,389.01,433.94,1,0,3.537
130,,,0,0,0.287
131,424.00,487.32,1,0,4.892
132,,,0,0,0.322
133,637.19,303.03,1,0,17.262
134,644.28,293.99,1,0,7.755
135,,,0,0,0.355
136,391.75,484.00,1,0,9.100
137,,,0,0,0.271
138,672.07,258.95,1,0,9.758
139,677.09,253.20,1,0,16.033
140,682.30,248.08,1,0,13.643
141,689.83,241.81,1,0,12.622
142,695.47,236.62,1,0,13.219
143,699.91,233.90,1,0,15.104
144,703.91,231.40,1,0,15.371
145,708.20,228.27,1,0,15.044
146,712.24,226.17,1,0,15.280
147,716.85,223.81,1,0,16.924
148,721.17,221.92,1,0,15.674
149,724.75,220.84,1,0,13.126
150,728.16,220.64,1,0,14.222
151,732.80,221.24,1,0,7.613
152,377.47,491.18,1,0,14.783
153,377.74,488.23,1,0,15.240
154,378.03,486.04,1,0,14.659
155,378.96,483.77,1,0,16.053
156,380.10,482.59,1,0,13.219
157,752.15,224.28,1,0,12.804
158,381.14,478.25,1,0,10.920
159,754.63,219.76,1,0,12.836
160,757.02,213.39,1,0,8.665
161,,,0,0,0.120
162,,,0,0,0.018
163,,,0,0,0.202
164,763.96,184.10,1,0,13.536
165,,,0,0,0.495
166,765.86,172.50,1,0,13.707
167,768.55,168.06,1,0,11.402
168,769.72,164.70,1,0,14.722
169,769.86,161.28,1,0,14.822
170,772.35,157.11,1,0,14.947
171,773.55,153.65,1,0,14.061
172,775.21,149.52,1,0,13.336
173,776.56,146.94,1,0,15.050
174,777.98,144.11,1,0,14.690
175,779.50,142.06,1,0,14.741
176,781.76,138.15,1,0,15.155
177,781.93,137.98,1,0,14.321
178,,,0,0,0.400
