frame,x,y,visible,interpolated,score
0,709.2,236.8,1,0,15.334
1,708.1,239.0,1,0,16.577
2,707.0,241.2,1,0,16.433
3,706.2,243.0,1,0,13.301
4,704.7,246.0,1,0,13.484
5,703.1,248.9,1,0,14.120
6,702.2,251.9,1,0,11.296
7,701.6,255.4,1,0,8.911
8,700.5,259.7,1,0,11.047
9,699.8,263.0,1,0,12.024
10,698.6,267.9,1,0,13.402
11,697.0,273.1,1,0,10.074
12,695.4,279.0,1,0,3.564
13,695.0,284.5,1,0,6.262
14,694.3,290.0,1,0,8.765
15,693.5,296.8,1,0,6.658
16,690.2,301.8,1,0,5.052
17,682.8,301.4,1,0,-6.309
18,671.9,295.4,1,0,-2.661
19,659.2,287.9,1,0,3.055
20,644.0,280.2,1,0,3.821
21,630.2,274.3,1,0,1.365
22,620.6,271.0,1,0,-1.013
23,613.1,268.1,1,0,-1.898
24,604.1,264.9,1,0,7.458
25,591.9,261.2,1,0,9.453
26,584.2,258.4,1,0,8.059
27,573.3,258.2,1,0,-12.865
28,565.3,259.0,1,0,-38.728
29,559.4,258.4,1,0,-38.955
30,559.1,257.5,1,0,-19.614
31,554.0,257.6,1,0,10.466
32,547.6,258.4,1,0,3.738
33,542.4,257.2,1,0,7.957
34,537.6,253.4,1,1,0.000
35,533.2,247.1,1,1,0.000
36,528.7,241.7,1,1,0.000
37,524.3,234.7,1,0,14.009
38,520.5,226.8,1,0,16.548
39,517.3,218.7,1,1,0.000
40,514.3,211.8,1,1,0.000
41,511.3,204.7,1,1,0.000
42,508.2,197.6,1,1,0.000
43,505.2,190.5,1,1,0.000
44,502.2,183.4,1,1,0.000
45,499.1,176.3,1,1,0.000
46,496.1,169.2,1,1,0.000
47,492.9,161.6,1,1,0.000
48,490.3,156.0,1,0,0.514
49,488.5,153.0,1,1,0.000
50,487.3,152.0,1,1,0.000
51,486.0,150.4,1,1,0.000
52,484.6,148.9,1,1,0.000
53,483.3,147.4,1,1,0.000
54,481.9,145.9,1,1,0.000
55,480.6,144.3,1,1,0.000
56,479.1,142.5,1,1,0.000
57,478.2,141.9,1,0,8.852
58,478.1,142.9,1,0,11.547
59,478.4,144.5,1,0,11.261
60,478.4,145.0,1,0,10.243
61,478.8,146.2,1,0,10.238
62,478.8,147.9,1,0,10.375
63,478.6,149.7,1,0,4.829
64,478.5,151.9,1,0,5.288
65,478.8,154.2,1,0,9.143
66,478.6,156.5,1,0,8.111
67,478.9,159.0,1,0,6.699
68,479.6,162.2,1,0,9.693
69,480.2,165.4,1,0,10.309
