Frame,X,Y,Visibility,L,Theta
0,788.2,232.0,1,0.0,0.0
1,800.4,209.4,1,0.0,0.0
2,808.4,189.7,1,0.0,0.0
3,811.2,170.6,1,0.0,0.0
4,812.6,159.7,1,0.0,0.0
5,813.1,154.6,1,0.0,0.0
6,813.8,148.0,1,0.0,0.0
7,814.5,141.4,1,0.0,0.0
8,815.3,134.8,1,0.0,0.0
9,816.9,127.7,1,0.0,0.0
10,814.6,122.5,1,0.0,0.0
11,808.1,120.5,1,0.0,0.0
12,799.7,121.2,1,0.0,0.0
13,791.9,120.8,1,0.0,0.0
14,782.8,118.6,1,0.0,0.0
15,769.9,117.1,1,0.0,0.0
16,753.5,117.4,1,0.0,0.0
17,735.4,122.6,1,0.0,0.0
18,719.5,129.2,1,0.0,0.0
19,708.8,135.7,1,0.0,0.0
20,702.7,139.8,1,0.0,0.0
21,702.2,143.7,1,0.0,0.0
22,696.6,148.5,1,0.0,0.0
23,683.3,155.1,1,0.0,0.0
24,663.1,163.4,1,0.0,0.0
25,646.3,172.2,1,0.0,0.0
26,632.4,182.4,1,0.0,0.0
27,618.0,194.3,1,0.0,0.0
28,610.8,204.5,1,0.0,0.0
29,608.7,222.2,1,0.0,0.0
30,595.6,239.3,1,0.0,0.0
31,572.6,255.1,1,0.0,0.0
32,556.2,265.6,1,0.0,0.0
33,548.9,283.2,1,0.0,0.0
34,537.5,303.4,1,0.0,0.0
35,524.8,326.0,1,0.0,0.0
36,512.9,347.7,1,0.0,0.0
37,499.0,370.5,1,0.0,0.0
38,482.1,396.7,1,0.0,0.0
39,464.8,416.2,1,0.0,0.0
40,450.1,424.5,1,0.0,0.0
41,436.9,425.0,1,0.0,0.0
42,423.3,427.5,1,0.0,0.0
43,409.7,430.0,1,0.0,0.0
44,397.1,431.3,1,0.0,0.0
45,379.6,438.9,1,0.0,0.0
46,360.3,446.9,1,0.0,0.0
47,343.7,449.1,1,0.0,0.0
48,328.5,447.3,1,0.0,0.0
49,0.0,0.0,0,0.0,0.0
50,0.0,0.0,0,0.0,0.0
51,0.0,0.0,0,0.0,0.0
52,0.0,0.0,0,0.0,0.0
53,0.0,0.0,0,0.0,0.0
54,527.1,271.7,1,0.0,0.0
55,546.8,252.1,1,0.0,0.0
56,568.1,236.6,1,0.0,0.0
57,590.9,228.5,1,0.0,0.0
58,608.9,211.7,1,0.0,0.0
59,624.9,190.2,1,0.0,0.0
60,0.0,0.0,0,0.0,0.0
61,0.0,0.0,0,0.0,0.0
62,0.0,0.0,0,0.0,0.0
63,157.5,27.5,1,0.0,0.0
64,156.6,21.3,1,0.0,0.0
65,155.8,15.0,1,0.0,0.0
66,0.0,0.0,0,0.0,0.0
67,745.5,172.0,1,0.0,0.0
68,752.9,171.9,1,0.0,0.0
69,760.3,171.8,1,0.0,0.0
70,767.8,171.7,1,0.0,0.0
71,775.2,171.6,1,0.0,0.0
72,782.6,171.5,1,0.0,0.0
73,792.4,171.3,1,0.0,0.0
74,790.7,172.3,1,0.0,0.0
75,784.1,169.1,1,0.0,0.0
76,778.3,160.1,1,0.0,0.0
77,793.9,144.4,1,0.0,0.0
78,808.9,134.2,1,0.0,0.0
79,820.8,127.4,1,0.0,0.0
80,824.7,121.5,1,0.0,0.0
81,831.7,114.5,1,0.0,0.0
82,834.6,110.6,1,0.0,0.0
83,830.3,114.6,1,0.0,0.0
84,819.8,125.0,1,0.0,0.0
85,807.5,140.0,1,0.0,0.0
86,778.8,57.5,1,0.0,0.0
87,786.0,94.2,1,0.0,0.0
88,793.3,131.0,1,0.0,0.0
89,800.5,167.7,1,0.0,0.0
90,808.0,205.3,1,0.0,0.0
91,814.6,239.4,1,0.0,0.0
92,820.3,268.7,1,0.0,0.0
93,824.5,291.0,1,0.0,0.0
94,823.5,316.6,1,0.0,0.0
95,814.3,349.0,1,0.0,0.0
96,812.5,383.0,1,0.0,0.0
97,816.7,400.7,1,0.0,0.0
98,821.1,406.8,1,0.0,0.0
99,818.1,412.1,1,0.0,0.0
100,817.7,421.7,1,0.0,0.0
101,817.2,429.9,1,0.0,0.0
102,816.7,442.1,1,0.0,0.0
103,814.5,451.9,1,0.0,0.0
104,812.8,467.6,1,0.0,0.0
105,810.9,487.0,1,0.0,0.0
106,809.6,511.8,1,0.0,0.0
107,804.0,499.6,1,0.0,0.0
108,798.4,487.4,1,0.0,0.0
109,0.0,0.0,0,0.0,0.0
110,0.0,0.0,0,0.0,0.0
111,773.2,355.5,1,0.0,0.0
112,754.1,323.5,1,0.0,0.0
113,742.2,297.5,1,0.0,0.0
114,737.7,279.9,1,0.0,0.0
115,733.9,261.4,1,0.0,0.0
116,720.3,239.9,1,0.0,0.0
117,703.8,225.1,1,0.0,0.0
118,697.5,216.2,1,0.0,0.0
119,692.6,207.6,1,0.0,0.0
120,690.0,200.0,1,0.0,0.0
121,685.6,193.0,1,0.0,0.0
122,678.4,186.8,1,0.0,0.0
123,672.8,183.6,1,0.0,0.0
124,671.7,181.6,1,0.0,0.0
125,674.6,179.4,1,0.0,0.0
126,670.0,179.9,1,0.0,0.0
127,659.3,181.9,1,0.0,0.0
128,654.7,188.4,1,0.0,0.0
129,660.1,193.9,1,0.0,0.0
130,660.0,197.7,1,0.0,0.0
131,647.0,196.0,1,0.0,0.0
132,634.4,190.9,1,0.0,0.0
133,629.1,183.6,1,0.0,0.0
134,628.8,176.3,1,0.0,0.0
135,628.5,171.8,1,0.0,0.0
136,628.4,167.7,1,0.0,0.0
137,628.2,163.4,1,0.0,0.0
138,628.0,159.1,1,0.0,0.0
139,627.9,154.8,1,0.0,0.0
140,627.7,150.5,1,0.0,0.0
141,627.5,146.3,1,0.0,0.0
142,659.7,135.5,1,0.0,0.0
143,664.7,147.0,1,0.0,0.0
144,675.5,157.3,1,0.0,0.0
145,695.2,164.6,1,0.0,0.0
146,710.5,177.5,1,0.0,0.0
147,723.4,190.2,1,0.0,0.0
148,745.1,198.4,1,0.0,0.0
149,767.8,209.4,1,0.0,0.0
150,783.5,226.9,1,0.0,0.0
151,801.6,245.7,1,0.0,0.0
152,821.2,269.3,1,0.0,0.0
153,841.2,294.5,1,0.0,0.0
154,859.7,321.7,1,0.0,0.0
155,875.6,356.0,1,0.0,0.0
156,896.3,384.5,1,0.0,0.0
157,919.9,411.0,1,0.0,0.0
158,0.0,0.0,0,0.0,0.0
