frame,x,y,visible,interpolated,score
0,,,0,0,
1,581.2,231.3,1,0,2.347
2,575.2,210.8,1,1,0.000
3,570.7,193.2,1,0,6.166
4,568.0,178.9,1,0,1.021
5,565.8,165.8,1,1,0.000
6,562.5,153.8,1,0,0.522
7,559.6,145.9,1,1,0.000
8,556.8,140.7,1,1,0.000
9,554.0,134.8,1,1,0.000
10,551.1,129.0,1,1,0.000
11,547.9,122.8,1,1,0.000
12,546.5,117.6,1,0,11.259
13,543.9,115.1,1,0,7.950
14,545.5,116.1,1,0,4.459
15,548.7,118.6,1,0,-13.527
16,549.8,120.2,1,0,-25.589
17,547.1,122.1,1,0,-8.917
18,548.3,125.5,1,1,0.000
19,553.3,130.5,1,1,0.000
20,557.6,134.7,1,1,0.000
21,561.3,140.9,1,0,6.304
22,564.0,150.0,1,1,0.000
23,566.4,162.0,1,1,0.000
24,567.1,170.8,1,0,6.058
25,569.4,173.7,1,0,4.390
26,574.1,176.8,1,0,11.800
27,580.3,185.4,1,0,-18.193
28,580.0,194.7,1,0,-16.253
29,580.5,205.8,1,0,-0.707
30,585.1,222.6,1,0,-21.900
31,585.9,239.6,1,0,-33.499
32,586.1,251.4,1,0,-8.853
33,589.6,264.3,1,0,-39.518
34,596.5,282.4,1,0,-37.702
35,598.3,299.7,1,0,-13.012
36,600.5,318.3,1,0,4.415
37,602.8,338.6,1,0,-9.705
38,604.5,360.9,1,1,0.000
39,607.5,381.4,1,0,10.205
40,609.0,401.0,1,0,7.861
41,608.3,419.4,1,1,0.000
42,605.9,437.2,1,1,0.000
43,604.0,455.2,1,1,0.000
44,602.0,473.2,1,1,0.000
45,599.5,491.8,1,0,1.031
46,608.3,483.8,1,1,0.000
47,615.4,477.7,1,1,0.000
48,621.6,472.5,1,0,7.909
49,624.3,472.0,1,0,5.248
50,624.6,475.4,1,0,5.605
51,625.3,479.5,1,1,0.000
52,626.7,482.9,1,1,0.000
53,627.9,486.4,1,1,0.000
54,629.1,489.9,1,0,11.199
55,,,0,0,
56,,,0,0,
57,685.9,339.7,1,0,-7.192
58,696.3,306.5,1,0,-2.737
59,708.1,279.3,1,0,-1.864
60,721.6,258.4,1,0,-36.257
61,735.8,242.7,1,0,-46.784
62,741.2,230.3,1,1,0.000
63,747.3,217.1,1,1,0.000
64,753.6,203.9,1,1,0.000
65,759.9,189.4,1,1,0.000
66,766.5,180.4,1,0,2.244
67,773.0,177.0,1,0,3.399
68,775.4,177.6,1,0,2.925
69,772.3,176.4,1,1,0.000
70,767.9,176.3,1,0,1.046
71,766.9,176.4,1,0,1.121
72,773.7,176.0,1,0,2.768
73,786.8,175.2,1,0,-4.190
