frame,x,y,visible,interpolated,score
0,709.3,237.1,1,0,15.334
1,708.1,238.9,1,0,16.577
2,706.9,240.9,1,0,16.433
3,705.8,243.3,1,0,13.301
4,704.6,245.9,1,0,13.484
5,703.6,248.7,1,0,14.120
6,702.4,252.1,1,0,11.296
7,701.5,255.4,1,0,8.911
8,700.6,259.2,1,0,11.047
9,699.6,263.3,1,0,12.024
10,698.3,268.1,1,0,13.402
11,697.1,273.3,1,0,10.074
12,696.1,278.5,1,0,3.564
13,695.6,285.0,1,0,6.262
14,694.9,291.8,1,0,8.765
15,693.0,296.7,1,0,6.658
16,688.9,299.8,1,0,5.052
17,682.1,299.1,1,0,-6.309
18,671.3,295.0,1,0,-2.661
19,658.3,288.8,1,0,3.055
20,644.9,281.4,1,0,3.821
21,632.6,275.5,1,0,1.365
22,622.0,271.1,1,0,-1.013
23,611.0,267.1,1,0,-1.898
24,602.9,264.0,1,0,7.458
25,593.2,261.7,1,0,9.453
26,582.6,259.7,1,0,8.059
27,573.9,258.5,1,0,-12.865
28,566.9,258.0,1,0,-38.728
29,561.4,257.8,1,0,-38.955
30,556.9,258.6,1,0,-19.614
31,551.9,258.6,1,0,10.466
32,548.7,257.6,1,0,3.738
33,543.0,255.9,1,0,7.957
34,537.6,252.9,1,1,0.000
35,533.0,248.0,1,1,0.000
36,528.5,241.6,1,1,0.000
37,524.5,234.2,1,0,14.009
38,520.7,226.9,1,0,16.548
39,517.3,219.4,1,1,0.000
40,514.2,211.8,1,1,0.000
41,511.2,204.5,1,1,0.000
42,508.2,197.6,1,1,0.000
43,505.2,190.5,1,1,0.000
44,502.2,183.4,1,1,0.000
45,499.0,175.8,1,1,0.000
46,495.9,168.5,1,1,0.000
47,493.1,162.2,1,1,0.000
48,490.7,157.2,1,0,0.514
49,488.7,153.6,1,1,0.000
50,487.1,151.3,1,1,0.000
51,485.8,149.9,1,1,0.000
52,484.6,148.9,1,1,0.000
53,483.3,147.4,1,1,0.000
54,481.7,145.6,1,1,0.000
55,480.4,144.0,1,1,0.000
56,479.3,143.0,1,1,0.000
57,478.5,142.7,1,0,8.852
58,478.1,142.8,1,0,11.547
59,478.2,143.7,1,0,11.261
60,478.4,145.0,1,0,10.243
61,478.7,146.4,1,0,10.238
62,478.7,148.0,1,0,10.375
63,478.7,149.7,1,0,4.829
64,478.6,151.8,1,0,5.288
65,478.6,154.1,1,0,9.143
66,478.7,156.4,1,0,8.111
67,479.1,159.2,1,0,6.699
68,479.5,162.3,1,0,9.693
69,480.0,165.6,1,0,10.309
70,480.6,169.4,1,0,11.826
71,481.4,173.1,1,0,12.555
72,482.0,176.9,1,0,11.300
73,482.7,180.8,1,0,11.151
74,483.5,185.1,1,0,9.834
75,484.0,189.6,1,0,10.006
76,484.7,194.5,1,0,12.825
77,485.3,199.6,1,0,11.311
78,485.7,205.2,1,0,14.269
79,486.3,211.1,1,0,8.155
80,486.9,217.2,1,0,10.166
81,487.7,223.5,1,0,12.198
82,488.5,229.0,1,0,9.959
83,489.4,237.3,1,0,9.647
84,490.4,245.8,1,0,12.631
85,491.1,253.9,1,0,10.340
86,491.5,262.2,1,0,5.612
87,492.1,270.3,1,0,-23.729
88,492.8,278.8,1,0,-23.987
89,493.3,286.9,1,0,4.142
90,493.9,294.7,1,0,5.836
91,495.0,304.9,1,0,10.383
92,496.0,316.1,1,0,4.962
93,497.0,327.0,1,0,6.870
94,498.1,338.3,1,0,10.293
95,499.2,350.1,1,0,5.900
96,499.9,362.1,1,0,-5.661
97,499.4,373.9,1,0,-9.947
98,501.1,386.9,1,0,2.646
99,504.7,399.6,1,0,4.042
