frame,x,y,visible,interpolated,score
0,779.0,233.0,1,0,20.0
1,784.0,221.5,1,1,20.0
2,789.0,210.0,1,0,20.0
3,792.0,200.5,1,1,20.0
4,795.0,191.0,1,0,20.0
5,798.0,182.0,1,1,20.0
6,801.0,173.0,1,0,20.0
7,803.5,164.5,1,1,20.0
8,806.0,156.0,1,0,20.0
9,809.5,149.5,1,1,20.0
10,813.0,143.0,1,0,20.0
11,815.0,137.5,1,1,20.0
12,817.0,132.0,1,0,20.0
13,818.0,128.0,1,1,20.0
14,819.0,124.0,1,0,20.0
15,820.5,120.5,1,1,20.0
16,822.0,117.0,1,0,20.0
17,818.0,116.5,1,1,20.0
18,814.0,116.0,1,0,20.0
19,810.0,116.0,1,1,20.0
20,806.0,116.0,1,0,20.0
21,802.0,116.5,1,1,20.0
22,798.0,117.0,1,0,20.0
23,794.0,116.5,1,1,20.0
24,790.0,116.0,1,0,20.0
25,785.5,116.5,1,1,20.0
26,781.0,117.0,1,0,20.0
27,776.0,118.0,1,1,20.0
28,771.0,119.0,1,0,20.0
29,766.0,120.0,1,1,20.0
30,761.0,121.0,1,0,20.0
31,755.5,122.5,1,1,20.0
32,750.0,124.0,1,0,20.0
33,745.5,126.0,1,1,20.0
34,741.0,128.0,1,0,20.0
35,736.5,129.5,1,1,20.0
36,732.0,131.0,1,0,20.0
37,726.0,134.0,1,1,20.0
38,720.0,137.0,1,0,20.0
39,,,0,0,0.0
40,,,0,0,0.0
41,,,0,0,0.0
42,,,0,0,0.0
43,,,0,0,0.0
44,687.0,154.0,1,0,20.0
45,681.5,157.5,1,1,20.0
46,676.0,161.0,1,0,20.0
47,,,0,0,0.0
48,,,0,0,0.0
49,,,0,0,0.0
50,655.0,178.0,1,0,20.0
51,649.0,183.0,1,1,20.0
52,643.0,188.0,1,0,20.0
53,636.5,194.0,1,1,20.0
54,630.0,200.0,1,0,20.0
55,624.0,205.0,1,1,20.0
56,618.0,210.0,1,0,20.0
57,612.0,217.0,1,1,20.0
58,606.0,224.0,1,0,20.0
59,599.0,230.0,1,1,20.0
60,592.0,236.0,1,0,20.0
61,585.5,244.0,1,1,20.0
62,579.0,252.0,1,0,20.0
63,571.0,260.0,1,1,20.0
64,563.0,268.0,1,0,20.0
65,,,0,0,0.0
66,,,0,0,0.0
67,,,0,0,0.0
68,535.0,303.0,1,0,20.0
69,526.5,312.5,1,1,20.0
70,518.0,322.0,1,0,20.0
71,511.5,331.0,1,1,20.0
72,505.0,340.0,1,0,20.0
73,497.0,351.5,1,1,20.0
74,489.0,363.0,1,0,20.0
75,480.0,374.5,1,1,20.0
76,471.0,386.0,1,0,20.0
77,464.0,397.5,1,1,20.0
78,457.0,409.0,1,0,20.0
79,449.5,421.5,1,1,20.0
80,442.0,434.0,1,0,20.0
81,,,0,0,0.0
82,,,0,0,0.0
83,,,0,0,0.0
84,,,0,0,0.0
85,,,0,0,0.0
86,,,0,0,0.0
87,,,0,0,0.0
88,,,0,0,0.0
89,,,0,0,0.0
90,375.0,439.0,1,0,20.0
91,370.0,440.0,1,1,20.0
92,365.0,441.0,1,0,20.0
93,,,0,0,0.0
94,,,0,0,0.0
95,,,0,0,0.0
96,337.0,449.0,1,0,20.0
97,332.0,450.5,1,1,20.0
98,327.0,452.0,1,0,20.0
99,,,0,0,0.0
100,,,0,0,0.0
101,,,0,0,0.0
102,418.0,362.0,1,0,20.0
103,435.5,346.0,1,1,20.0
104,453.0,330.0,1,0,20.0
105,469.5,315.0,1,1,20.0
106,486.0,300.0,1,0,20.0
107,500.0,288.5,1,1,20.0
108,514.0,277.0,1,0,20.0
109,527.0,266.0,1,1,20.0
110,540.0,255.0,1,0,20.0
111,,,0,0,0.0
112,,,0,0,0.0
113,,,0,0,0.0
114,586.0,224.0,1,0,20.0
115,596.0,217.5,1,1,20.0
116,606.0,211.0,1,0,20.0
117,616.0,205.5,1,1,20.0
118,626.0,200.0,1,0,20.0
119,634.5,196.5,1,1,20.0
120,643.0,193.0,1,0,20.0
121,650.0,189.5,1,1,20.0
122,657.0,186.0,1,0,20.0
123,665.0,183.5,1,1,20.0
124,673.0,181.0,1,0,20.0
125,679.5,178.5,1,1,20.0
126,686.0,176.0,1,0,20.0
127,692.5,174.5,1,1,20.0
128,699.0,173.0,1,0,20.0
129,704.5,172.5,1,1,20.0
130,710.0,172.0,1,0,20.0
131,716.0,172.0,1,1,20.0
132,722.0,172.0,1,0,20.0
133,727.5,172.0,1,1,20.0
134,733.0,172.0,1,0,20.0
135,738.0,173.0,1,1,20.0
136,743.0,174.0,1,0,20.0
137,746.5,175.0,1,1,20.0
138,750.0,176.0,1,0,20.0
139,754.0,177.5,1,1,20.0
140,758.0,179.0,1,0,20.0
141,762.5,181.5,1,1,20.0
142,767.0,184.0,1,0,20.0
143,770.0,186.0,1,1,20.0
144,773.0,188.0,1,0,20.0
145,777.0,187.0,1,1,20.0
146,781.0,186.0,1,0,20.0
147,784.0,179.0,1,1,20.0
148,787.0,172.0,1,0,20.0
149,789.0,168.0,1,1,20.0
150,791.0,164.0,1,0,20.0
151,794.5,158.5,1,1,20.0
152,798.0,153.0,1,0,20.0
153,800.0,148.5,1,1,20.0
154,802.0,144.0,1,0,20.0
155,804.0,140.5,1,1,20.0
156,806.0,137.0,1,0,20.0
157,808.5,133.5,1,1,20.0
158,811.0,130.0,1,0,20.0
159,813.5,128.0,1,1,20.0
160,816.0,126.0,1,0,20.0
161,818.5,122.5,1,1,20.0
162,821.0,119.0,1,0,20.0
163,822.5,117.0,1,1,20.0
164,824.0,115.0,1,0,20.0
165,824.5,117.5,1,1,20.0
166,825.0,120.0,1,0,20.0
167,824.0,124.0,1,1,20.0
168,823.0,128.0,1,0,20.0
169,822.0,132.0,1,1,20.0
170,821.0,136.0,1,0,20.0
171,820.0,147.0,1,1,20.0
172,819.0,158.0,1,0,20.0
173,,,0,0,0.0
174,,,0,0,0.0
175,,,0,0,0.0
176,,,0,0,0.0
177,,,0,0,0.0
178,816.0,202.0,1,0,20.0
179,815.5,211.5,1,1,20.0
180,815.0,221.0,1,0,20.0
181,,,0,0,0.0
182,,,0,0,0.0
183,,,0,0,0.0
184,815.0,261.0,1,0,20.0
185,814.0,274.0,1,1,20.0
186,813.0,287.0,1,0,20.0
187,813.0,299.5,1,1,20.0
188,813.0,312.0,1,0,20.0
189,813.0,326.5,1,1,20.0
190,813.0,341.0,1,0,20.0
191,813.0,357.5,1,1,20.0
192,813.0,374.0,1,0,20.0
193,812.5,390.0,1,1,20.0
194,812.0,406.0,1,0,20.0
195,811.5,407.5,1,1,20.0
196,811.0,409.0,1,0,20.0
197,810.5,411.5,1,1,20.0
198,810.0,414.0,1,0,20.0
199,809.0,417.0,1,1,20.0
200,808.0,420.0,1,0,20.0
201,807.5,424.5,1,1,20.0
202,807.0,429.0,1,0,20.0
203,806.5,434.0,1,1,20.0
204,806.0,439.0,1,0,20.0
205,805.0,446.0,1,1,20.0
206,804.0,453.0,1,0,20.0
207,803.0,460.5,1,1,20.0
208,802.0,468.0,1,0,20.0
209,801.0,476.5,1,1,20.0
210,800.0,485.0,1,0,20.0
211,799.5,495.0,1,1,20.0
212,799.0,505.0,1,0,20.0
213,798.5,515.5,1,1,20.0
214,798.0,526.0,1,0,20.0
215,794.0,511.0,1,1,20.0
216,790.0,496.0,1,0,20.0
217,784.0,469.0,1,1,20.0
218,778.0,442.0,1,0,20.0
219,773.5,422.0,1,1,20.0
220,769.0,402.0,1,0,20.0
221,764.0,382.0,1,1,20.0
222,759.0,362.0,1,0,20.0
223,755.5,346.0,1,1,20.0
224,752.0,330.0,1,0,20.0
225,747.0,316.5,1,1,20.0
226,742.0,303.0,1,0,20.0
227,,,0,0,0.0
228,,,0,0,0.0
229,,,0,0,0.0
230,729.0,264.0,1,0,20.0
231,726.0,255.0,1,1,20.0
232,723.0,246.0,1,0,20.0
233,719.0,238.5,1,1,20.0
234,715.0,231.0,1,0,20.0
235,712.0,226.0,1,1,20.0
236,709.0,221.0,1,0,20.0
237,,,0,0,0.0
238,,,0,0,0.0
239,,,0,0,0.0
240,699.0,205.0,1,0,20.0
241,696.5,202.5,1,1,20.0
242,694.0,200.0,1,0,20.0
243,691.0,197.0,1,1,20.0
244,688.0,194.0,1,0,20.0
245,685.0,192.5,1,1,20.0
246,682.0,191.0,1,0,20.0
247,679.5,191.0,1,1,20.0
248,677.0,191.0,1,0,20.0
249,675.0,189.5,1,1,20.0
250,673.0,188.0,1,0,20.0
251,670.0,189.0,1,1,20.0
252,667.0,190.0,1,0,20.0
253,665.5,190.0,1,1,20.0
254,664.0,190.0,1,0,20.0
255,661.5,191.5,1,1,20.0
256,659.0,193.0,1,0,20.0
257,656.0,194.5,1,1,20.0
258,653.0,196.0,1,0,20.0
259,652.0,199.0,1,1,20.0
260,651.0,202.0,1,0,20.0
261,649.0,204.5,1,1,20.0
262,647.0,207.0,1,0,20.0
263,645.0,199.0,1,1,20.0
264,643.0,191.0,1,0,20.0
265,642.0,187.5,1,1,20.0
266,641.0,184.0,1,0,20.0
267,640.0,178.5,1,1,20.0
268,639.0,173.0,1,0,20.0
269,638.0,168.0,1,1,20.0
270,637.0,163.0,1,0,20.0
271,635.5,159.0,1,1,20.0
272,634.0,155.0,1,0,20.0
273,,,0,0,0.0
274,,,0,0,0.0
275,,,0,0,0.0
276,,,0,0,0.0
277,,,0,0,0.0
278,628.0,136.0,1,0,20.0
279,626.5,134.0,1,1,20.0
280,625.0,132.0,1,0,20.0
281,628.0,132.0,1,1,20.0
282,631.0,132.0,1,0,20.0
283,639.0,134.5,1,1,20.0
284,647.0,137.0,1,0,20.0
285,,,0,0,0.0
286,,,0,0,0.0
287,,,0,0,0.0
288,675.0,149.0,1,0,20.0
289,682.5,154.0,1,1,20.0
290,690.0,159.0,1,0,20.0
291,,,0,0,0.0
292,,,0,0,0.0
293,,,0,0,0.0
294,721.0,182.0,1,0,20.0
295,729.0,188.0,1,1,20.0
296,737.0,194.0,1,0,20.0
297,745.5,202.5,1,1,20.0
298,754.0,211.0,1,0,20.0
299,762.0,219.5,1,1,20.0
300,770.0,228.0,1,0,20.0
301,779.0,237.5,1,1,20.0
302,788.0,247.0,1,0,20.0
303,798.0,259.0,1,1,20.0
304,808.0,271.0,1,0,20.0
305,818.0,282.5,1,1,20.0
306,828.0,294.0,1,0,20.0
307,837.0,307.5,1,1,20.0
308,846.0,321.0,1,0,20.0
309,857.0,335.0,1,1,20.0
310,868.0,349.0,1,0,20.0
311,877.0,364.5,1,1,20.0
312,886.0,380.0,1,0,20.0
313,897.5,397.5,1,1,20.0
314,909.0,415.0,1,0,20.0
315,,,0,0,0.0
316,,,0,0,0.0
