frame,x,y,visible,interpolated,score
0,779.00,233.00,1,0,20.0
1,784.41,221.12,1,1,20.0
2,789.00,210.00,1,0,20.0
3,792.26,200.13,1,1,20.0
4,795.00,191.00,1,0,20.0
5,798.06,182.00,1,1,20.0
6,801.00,173.00,1,0,20.0
7,803.40,164.13,1,1,20.0
8,806.00,156.00,1,0,20.0
9,809.49,149.11,1,1,20.0
10,813.00,143.00,1,0,20.0
11,815.53,137.17,1,1,20.0
12,817.00,132.00,1,0,20.0
13,817.77,127.83,1,1,20.0
14,819.00,124.00,1,0,20.0
15,821.27,120.02,1,1,20.0
16,822.00,117.00,1,0,20.0
17,818.90,115.99,1,1,20.0
18,814.00,116.00,1,0,20.0
19,809.76,115.92,1,1,20.0
20,806.00,116.00,1,0,20.0
21,802.05,116.60,1,1,20.0
22,798.00,117.00,1,0,20.0
23,794.04,116.55,1,1,20.0
24,790.00,116.00,1,0,20.0
25,785.67,116.21,1,1,20.0
26,781.00,117.00,1,0,20.0
27,776.03,117.99,1,1,20.0
28,771.00,119.00,1,0,20.0
29,766.10,119.96,1,1,20.0
30,761.00,121.00,1,0,20.0
31,755.44,122.30,1,1,20.0
32,750.00,124.00,1,0,20.0
33,745.25,126.09,1,1,20.0
34,741.00,128.00,1,0,20.0
35,736.79,129.36,1,1,20.0
36,732.00,131.00,1,0,20.0
37,726.21,133.74,1,1,20.0
38,720.00,137.00,1,0,20.0
39,,,0,0,0.0
40,,,0,0,0.0
41,,,0,0,0.0
42,,,0,0,0.0
43,,,0,0,0.0
44,687.00,154.00,1,0,20.0
45,681.47,157.34,1,1,20.0
46,676.00,161.00,1,0,20.0
47,,,0,0,0.0
48,,,0,0,0.0
49,,,0,0,0.0
50,655.00,178.00,1,0,20.0
51,649.20,182.69,1,1,20.0
52,643.00,188.00,1,0,20.0
53,636.49,194.12,1,1,20.0
54,630.00,200.00,1,0,20.0
55,623.85,204.81,1,1,20.0
56,618.00,210.00,1,0,20.0
57,612.22,216.87,1,1,20.0
58,606.00,224.00,1,0,20.0
59,599.00,229.94,1,1,20.0
60,592.00,236.00,1,0,20.0
61,585.66,243.62,1,1,20.0
62,579.00,252.00,1,0,20.0
63,571.10,260.07,1,1,20.0
64,563.00,268.00,1,0,20.0
65,,,0,0,0.0
66,,,0,0,0.0
67,,,0,0,0.0
68,535.00,303.00,1,0,20.0
69,526.33,312.65,1,1,20.0
70,518.00,322.00,1,0,20.0
71,511.30,330.70,1,1,20.0
72,505.00,340.00,1,0,20.0
73,497.58,351.06,1,1,20.0
74,489.00,363.00,1,0,20.0
75,479.73,374.70,1,1,20.0
76,471.00,386.00,1,0,20.0
77,463.74,397.13,1,1,20.0
78,457.00,409.00,1,0,20.0
79,449.70,422.02,1,1,20.0
80,442.00,434.00,1,0,20.0
81,,,0,0,0.0
82,,,0,0,0.0
83,,,0,0,0.0
84,,,0,0,0.0
85,,,0,0,0.0
86,,,0,0,0.0
87,,,0,0,0.0
88,,,0,0,0.0
89,,,0,0,0.0
90,375.00,439.00,1,0,20.0
91,370.02,439.71,1,1,20.0
92,365.00,441.00,1,0,20.0
93,,,0,0,0.0
94,,,0,0,0.0
95,,,0,0,0.0
96,337.00,449.00,1,0,20.0
97,328.16,453.70,1,1,20.0
98,327.00,452.00,1,0,20.0
99,,,0,0,0.0
100,,,0,0,0.0
101,,,0,0,0.0
102,418.00,362.00,1,0,20.0
103,437.16,344.39,1,1,20.0
104,453.00,330.00,1,0,20.0
105,469.59,314.72,1,1,20.0
106,486.00,300.00,1,0,20.0
107,500.60,287.87,1,1,20.0
108,514.00,277.00,1,0,20.0
109,527.14,265.78,1,1,20.0
110,540.00,255.00,1,0,20.0
111,,,0,0,0.0
112,,,0,0,0.0
113,,,0,0,0.0
114,586.00,224.00,1,0,20.0
115,596.06,217.42,1,1,20.0
116,606.00,211.00,1,0,20.0
117,616.13,205.02,1,1,20.0
118,626.00,200.00,1,0,20.0
119,635.04,196.27,1,1,20.0
120,643.00,193.00,1,0,20.0
121,649.95,189.41,1,1,20.0
122,657.00,186.00,1,0,20.0
123,665.05,183.35,1,1,20.0
124,673.00,181.00,1,0,20.0
125,679.74,178.43,1,1,20.0
126,686.00,176.00,1,0,20.0
127,692.61,174.19,1,1,20.0
128,699.00,173.00,1,0,20.0
129,704.58,172.30,1,1,20.0
130,710.00,172.00,1,0,20.0
131,715.95,171.99,1,1,20.0
132,722.00,172.00,1,0,20.0
133,727.63,171.85,1,1,20.0
134,733.00,172.00,1,0,20.0
135,738.30,172.85,1,1,20.0
